"p","not_SPNE","gCC_satisfied?","gCC_how_determined?","gCC_required_non_negative","gCD_satisfied?","gCD_how_determined?","gCD_required_non_negative","gDC_satisfied?","gDC_how_determined?","gDC_required_non_negative","gDD_satisfied?","gDD_how_determined?","gDD_required_non_negative","bCC_satisfied?","bCC_how_determined?","bCC_required_non_negative","bCD_satisfied?","bCD_how_determined?","bCD_required_non_negative","bDC_satisfied?","bDC_how_determined?","bDC_required_non_negative","bDD_satisfied?","bDD_how_determined?","bDD_required_non_negative"
"_00010111","True","True","directly","c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","c","True","directly","c","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)"
"_00011000","True","True","directly","c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","True","directly","c","True","directly","c","True","directly","c","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)"
"_00011001","True","","delta = 1","-2*b1 + 3*b2 + c","True","directly","-(b2 - c)*d^3/(d^2 - 1) + (b1 - c)*d + (b2 - c)*d^2/(d^2 - 1) + c","True","directly","-(b2 - c)*d^3/(d^2 - 1) + (b1 - c)*d + (b2 - c)*d^2/(d^2 - 1) + c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","","delta = 1","-2*b1 + 3*b2 + c","","delta = 1","-2*b1 + 3*b2 + c","","delta = 1","-2*b1 + 3*b2 + c","False","normalised","-(b1 - b2)*d^2 - c"
"_00011010","True","","delta = 1","2*b1 - 3*b2 + c","True","directly","c","False","delta = 1","-b1 + c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","2*b1 - 3*b2 + c","True","delta = 1","b1 - c"
"_00011011","True","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","False","delta = 1","-b2 + c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - (b2 - c)*d^2/(d^2 - 1) - c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","delta = 1","b2 - c"
"_00011100","True","True","directly","(b1 - c)*d^4/(d^3 - 1) + c*d - (b1 - c)*d^2/(d^3 - 1) + c","False","delta = 1","-b1 + c","True","directly","c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^4/(d^3 - 1) + c*d - (b1 - c)*d^2/(d^3 - 1) + c","True","directly","(b1 - c)*d^4/(d^3 - 1) + c*d - (b1 - c)*d^2/(d^3 - 1) + c","True","directly","(b1 - c)*d^4/(d^3 - 1) + c*d - (b1 - c)*d^2/(d^3 - 1) + c","","delta = 1","b1 - 3*b2 - 4*c"
"_00011101","True","True","normalised","c*(d + 1) + (b2 - c)*d","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - (b2 - c)*d^2/(d^2 - 1) - c","False","delta = 1","-b2 + c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d","False","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d - (b2 - c)*d^2/(d^2 - 1) - c"
"_00011110","True","","delta = 1","2*b1 - 3*b2 + 4*c","False","directly","-c","False","directly","-c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","b1 - 3*b2 - c"
"_00011111","True","True","directly","c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","c","True","directly","c","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)"
"_00100000","True","True","directly","c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","directly","c","True","directly","c","False","directly","-c","True","directly","c"
"_00100001","True","True","normalised","(b2 - c)*d + c","False","delta = 1","-b1 + b2","False","delta = 1","-b1 + b2","True","delta = 1","b2 - c","True","normalised","(b2 - c)*d + c","","delta = 1","-b2 + 3*c","False","delta = 1","-b2 + c","True","normalised","(b2 - c)*d + c"
"_00100010","True","False","delta = 1","-2*b2 + 2*c","True","delta = 1","b2 - c","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b2 + 2*c","True","delta = 1","b1 - c","True","delta = 1","b2 - c","False","delta = 1","-2*b2 + 2*c"
"_00100011","True","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","True","delta = 1","b1 - b2","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","True","delta = 1","b1 - b2","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c"
"_00100100","True","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_00100101","True","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c"
"_00100110","True","","delta = 1","-b2 + 2*c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","False","delta = 1","-b1 - b2 + 2*c","","delta = 1","-b2 + 2*c","True","directly","(b2 - c)*d + c","","delta = 1","b2 - 2*c","","delta = 1","-b2 + 2*c"
"_00100111","True","True","directly","c","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","False","directly","-c + (b2 - c)*d/(d^2 - 1)","True","directly","c"
"_00101000","True","True","directly","c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","directly","c","True","directly","c","False","directly","-c","True","directly","c"
"_00101001","True","True","normalised","(b2 - c)*d + c","False","delta = 1","-b1 + b2","False","delta = 1","-b1 + b2","True","delta = 1","b2 - c","True","normalised","(b2 - c)*d + c","","delta = 1","-b2 + 3*c","False","delta = 1","-b2 + c","True","normalised","(b2 - c)*d + c"
"_00101010","True","False","delta = 1","-2*b2 + 2*c","True","delta = 1","b2 - c","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b2 + 2*c","True","delta = 1","b1 - c","True","delta = 1","b2 - c","False","delta = 1","-2*b2 + 2*c"
"_00101011","True","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","True","delta = 1","b1 - b2","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","True","delta = 1","b1 - b2","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c"
"_00101100","True","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_00101101","True","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c"
"_00101110","True","","delta = 1","-b2 + 2*c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","False","delta = 1","-b1 - b2 + 2*c","","delta = 1","-b2 + 2*c","True","directly","(b2 - c)*d + c","","delta = 1","b2 - 2*c","","delta = 1","-b2 + 2*c"
"_00101111","True","True","directly","c","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","False","directly","-c + (b2 - c)*d/(d^2 - 1)","True","directly","c"
"_00110000","True","True","directly","c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","directly","c","False","delta = 1","-b1 + c","False","directly","(b1 - c)*d^2/(d^3 - 1) - c","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)"
"_00110001","True","","delta = 1","-2*b1 + 3*b2 + c","False","delta = 1","-b1 + b2","False","delta = 1","-b1 + b2","","delta = 1","-2*b1 + 3*b2 - c","","delta = 1","-2*b1 + 3*b2 + c","True","normalised","(b1 - b2)*d^2 + c","False","delta = 1","-b2 + c","False","normalised","-(b1 - b2)*d^2 - c"
"_00110010","True","","delta = 1","2*b1 - 6*b2 + 4*c","","delta = 1","-2*b1 + 3*b2 - c","False","delta = 1","-b1 + c","False","delta = 1","-4*b1 + 4*c","","delta = 1","2*b1 - 6*b2 + 4*c","False","delta = 1","-b1 + c","False","delta = 1","-4*b1 + 3*b2 + c","False","delta = 1","-4*b1 + 4*c"
"_00110011","True","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","True","delta = 1","b1 - b2","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","True","delta = 1","b1 - b2","False","delta = 1","-b2 + c","False","delta = 1","-2*b1 + b2 + c"
"_00110100","True","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","","delta = 1","-b1 + 3*b2 - 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c"
"_00110101","True","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c"
"_00110110","True","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","b1 - 3*b2 + 2*c","","delta = 1","2*b1 - 3*b2 + 4*c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","","delta = 1","b1 - 3*b2 - c"
"_00110111","True","True","directly","c","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","False","directly","-c + (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)"
"_00111000","True","True","directly","c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","directly","c","False","delta = 1","-b1 + c","False","directly","(b1 - c)*d^2/(d^3 - 1) - c","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)"
"_00111001","True","","delta = 1","-2*b1 + 3*b2 + c","False","delta = 1","-b1 + b2","False","delta = 1","-b1 + b2","","delta = 1","-2*b1 + 3*b2 - c","","delta = 1","-2*b1 + 3*b2 + c","True","normalised","(b1 - b2)*d^2 + c","False","delta = 1","-b2 + c","False","normalised","-(b1 - b2)*d^2 - c"
"_00111010","True","","delta = 1","2*b1 - 6*b2 + 4*c","","delta = 1","-2*b1 + 3*b2 - c","False","delta = 1","-b1 + c","False","delta = 1","-4*b1 + 4*c","","delta = 1","2*b1 - 6*b2 + 4*c","False","delta = 1","-b1 + c","False","delta = 1","-4*b1 + 3*b2 + c","False","delta = 1","-4*b1 + 4*c"
"_00111011","True","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","True","delta = 1","b1 - b2","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","True","delta = 1","b1 - b2","False","delta = 1","-b2 + c","False","delta = 1","-2*b1 + b2 + c"
"_00111100","True","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","","delta = 1","-b1 + 3*b2 - 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c"
"_00111101","True","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c"
"_00111110","True","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","b1 - 3*b2 + 2*c","","delta = 1","2*b1 - 3*b2 + 4*c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","","delta = 1","b1 - 3*b2 - c"
"_00111111","True","True","directly","c","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","False","directly","-c + (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)"
"_01000000","True","True","directly","c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c","False","directly","-c","True","directly","c","True","directly","c"
"_01000001","True","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d^2 + c*d + c","True","normalised","(b2 - c)*d^2 + c*d + c","False","delta = 1","-b1 + b2 - 2*c","True","normalised","(b2 - c)*d + c","False","delta = 1","-b2 + c","","delta = 1","-b2 + 3*c","True","normalised","(b2 - c)*d + c"
"_01000010","True","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_01000011","True","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c"
"_01000100","True","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(c*d + c)/(d^2 - 1)","True","directly","-b2 + c - (b1*d + b2)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(c*d + c)/(d^2 - 1)","True","directly","-b1 + c - (b2*d + b1)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
